customer_id,credit_score,country,gender,age,tenure,balance,products_number,credit_card,active_member,estimated_salary,churn
15634602,619,France,Female,42,2,0.0,1,1,1,101348.88,1
15647311,608,Spain,Female,41,1,83807.86,1,0,1,112542.58,0
15619304,502,France,Female,42,8,159660.8,3,1,0,113931.57,1
15701354,699,France,Female,39,1,0.0,2,0,0,93826.63,0
15737888,850,Spain,Female,43,2,125510.82,1,1,1,79084.1,0
15684819,726,France,Female,32,2,0.0,3,0,1,186162.54,0
15704591,805,Germany,Male,39,10,120705.84,1,1,1,60192.17,0
15666765,610,Germany,Female,46,5,0.0,2,1,1,139948.16,1
15761055,617,France,Female,37,10,113110.56,1,0,1,90757.0,1
15644962,714,France,Male,33,2,0.0,1,1,1,163418.27,0
15719549,501,France,Female,33,1,0.0,1,0,0,93888.93,0
15682448,552,France,Male,46,5,76577.05,1,1,1,57837.48,0
15759938,754,Spain,Male,33,1,0.0,1,1,0,55982.27,0
15682785,431,France,Female,33,4,148379.6,2,0,1,182319.78,0
15784563,657,France,Male,47,2,63340.96,2,1,0,116238.46,0
15732165,605,Germany,Male,24,8,0.0,1,0,0,107546.44,0
15671649,614,Germany,Male,26,5,0.0,2,1,1,3308.54,0
15755578,663,France,Female,39,7,168215.57,1,1,0,17714.73,0
15566091,504,France,Male,56,6,0.0,1,1,0,5437.01,1
15603724,657,France,Female,33,0,78086.02,1,1,1,199412.21,0
15734458,621,France,Female,43,1,112262.49,1,1,1,79788.46,0
15626197,592,Germany,Male,37,10,121451.11,2,0,1,31560.94,1
15814243,727,Spain,Male,47,2,0.0,2,1,1,20557.8,0
15814189,555,France,Male,32,3,0.0,1,1,0,64729.81,0
15620727,615,Spain,Female,23,6,119659.0,1,1,0,51388.21,0
15744461,615,Spain,Male,31,3,107384.42,1,1,0,57134.32,0
15798958,669,Germany,Male,37,4,0.0,2,0,0,137658.52,0
15646377,678,Spain,Female,33,6,81463.66,1,1,1,118058.41,0
15672793,709,France,Male,25,1,143692.29,2,0,1,37991.12,0
15710964,517,France,Male,37,8,94012.52,3,1,0,5068.03,0
